trade_id,entry_timestamp,exit_timestamp,symbol,action,quantity,entry_price,exit_price,position_value,position_pct,pnl_rupees,pnl_pct,cumulative_pnl,portfolio_value,decision_rationale,sentiment_score,rsi,macd,volume,risk_validation,gtt_order_id,trade_type,status,execution_latency_ms
TRD-0001,2025-11-03 10:07:00,2025-11-03 11:07:00,ASIANPAINT,BUY,1,3046.9,3069.75,3046.9,5.7,22.85,0.75,22.85,50022.85,"Policy announcement beneficial, sector outperforming, price action strong",0.44,59,Neutral,132% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,193
TRD-0002,2025-11-03 13:28:00,2025-11-03 15:12:00,LT,BUY,1,3524.84,3572.42,3524.84,5.4,47.59,1.35,70.44,50070.44,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.59,59,Neutral,141% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,221
TRD-0003,2025-11-04 13:38:00,2025-11-04 15:10:00,ICICIBANK,BUY,2,1155.78,1173.11,2311.55,6.8,34.67,1.5,105.11,50105.11,"H&S pattern complete, MACD crossover, relative strength improving",0.7,52,Neutral,128% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0003,DAY,CLOSED,245
TRD-0004,2025-11-04 13:35:00,2025-11-05 14:17:00,BAJFINANCE,BUY,1,7041.72,7020.59,7041.72,5.8,-21.13,-0.3,83.99,50083.99,"Valuation attractive, upcoming catalysts, support levels intact",-0.0,42,Neutral,113% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,225
TRD-0005,2025-11-05 12:43:00,2025-11-05 13:13:00,INFY,BUY,1,1464.35,1484.12,1464.35,5.7,19.77,1.35,103.75,50103.75,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.66,43,Bullish,122% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,177
TRD-0006,2025-11-05 10:11:00,2025-11-06 11:23:00,HINDUNILVR,BUY,1,2440.77,2407.82,2440.77,6.3,-32.95,-1.35,70.8,50070.8,"News catalyst positive, technical setup favorable, volume supporting",-0.42,58,Neutral,160% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,181
TRD-0007,2025-11-05 13:48:00,2025-11-05 14:04:00,MARUTI,BUY,1,12474.06,12605.03,12474.06,7.5,130.98,1.05,201.78,50201.78,"Valuation attractive, upcoming catalysts, support levels intact",0.59,42,Neutral,155% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,218
TRD-0008,2025-11-06 11:23:00,2025-11-06 14:16:00,TCS,BUY,1,3614.93,3669.16,3614.93,9.9,54.22,1.5,256.0,50256.0,"Policy announcement beneficial, sector outperforming, price action strong",0.73,54,Bullish,163% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,167
TRD-0009,2025-11-07 14:15:00,2025-11-10 14:04:00,ICICIBANK,BUY,4,1133.41,1138.51,4533.66,9.3,20.4,0.45,276.41,50276.41,"Policy announcement beneficial, sector outperforming, price action strong",0.73,55,Neutral,175% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,165
TRD-0010,2025-11-07 10:16:00,2025-11-07 15:01:00,AXISBANK,BUY,4,1142.96,1137.81,4571.83,9.1,-20.57,-0.45,255.83,50255.83,"News catalyst positive, technical setup favorable, volume supporting",-0.43,59,Neutral,143% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,176
TRD-0011,2025-11-10 14:03:00,2025-11-11 14:18:00,ITC,BUY,10,418.39,422.16,4183.91,8.6,37.66,0.9,293.49,50293.49,"News catalyst positive, technical setup favorable, volume supporting",0.52,41,Bullish,168% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,233
TRD-0012,2025-11-10 14:03:00,2025-11-10 15:17:00,HDFCBANK,BUY,2,1690.32,1702.99,3380.63,8.5,25.35,0.75,318.84,50318.84,"Support holding, fundamentals improving, momentum building",0.44,47,Bullish,163% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0012,DAY,CLOSED,163
TRD-0013,2025-11-10 11:05:00,2025-11-11 14:13:00,SBIN,BUY,4,789.57,781.28,3158.28,7.7,-33.16,-1.05,285.68,50285.68,"News catalyst positive, technical setup favorable, volume supporting",-0.35,57,Neutral,113% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,168
TRD-0014,2025-11-11 13:44:00,2025-11-11 15:03:00,HINDUNILVR,BUY,1,2362.47,2376.64,2362.47,6.3,14.17,0.6,299.86,50299.86,"News catalyst positive, technical setup favorable, volume supporting",0.62,44,Bullish,115% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0014,DAY,CLOSED,152
TRD-0015,2025-11-11 14:19:00,2025-11-11 15:01:00,HDFCBANK,BUY,2,1657.28,1644.85,3314.56,9.3,-24.86,-0.75,275.0,50275.0,"News catalyst positive, technical setup favorable, volume supporting",0.1,54,Neutral,127% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,171
TRD-0016,2025-11-12 13:52:00,2025-11-12 14:42:00,SBIN,BUY,6,746.98,763.78,4481.85,9.4,100.84,2.25,375.84,50375.84,"Gap-up post-results, delivery % high, bullish pattern",0.48,54,Bullish,123% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,187
TRD-0017,2025-11-12 10:07:00,2025-11-13 12:07:00,RELIANCE,BUY,1,2503.04,2525.56,2503.04,7.1,22.53,0.9,398.37,50398.37,"Gap-up post-results, delivery % high, bullish pattern",0.46,41,Neutral,125% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,214
TRD-0018,2025-11-13 11:25:00,2025-11-13 14:08:00,RELIANCE,BUY,1,2538.37,2561.22,2538.37,6.0,22.85,0.9,421.21,50421.21,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.52,39,Bullish,127% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,169
TRD-0019,2025-11-14 10:09:00,2025-11-14 15:18:00,HDFCBANK,BUY,1,1625.16,1620.29,1625.16,5.5,-4.88,-0.3,416.34,50416.34,"Valuation attractive, upcoming catalysts, support levels intact",-0.05,39,Bullish,118% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,178
TRD-0020,2025-11-14 14:23:00,2025-11-14 15:15:00,INFY,BUY,1,1507.39,1518.69,1507.39,5.8,11.31,0.75,427.64,50427.64,"Gap-up post-results, delivery % high, bullish pattern",0.49,44,Bullish,149% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,233
TRD-0021,2025-11-14 10:36:00,2025-11-14 13:27:00,RELIANCE,BUY,1,2516.71,2528.04,2516.71,8.2,11.33,0.45,438.97,50438.97,"Gap-up post-results, delivery % high, bullish pattern",0.82,65,Bullish,153% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,235
TRD-0022,2025-11-17 10:36:00,2025-11-18 11:15:00,BHARTIARTL,BUY,2,1616.15,1635.55,3232.31,7.1,38.79,1.2,477.75,50477.75,"Support holding, fundamentals improving, momentum building",0.69,59,Bullish,167% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0022,SWING,CLOSED,167
TRD-0023,2025-11-17 11:11:00,2025-11-18 10:20:00,KOTAKBANK,BUY,2,1730.37,1738.15,3460.73,7.9,15.57,0.45,493.33,50493.33,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.41,43,Neutral,149% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,236
TRD-0024,2025-11-18 11:20:00,2025-11-18 12:29:00,BHARTIARTL,BUY,2,1610.26,1615.09,3220.53,9.5,9.66,0.3,502.99,50502.99,"Gap-up post-results, delivery % high, bullish pattern",0.73,54,Neutral,127% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,218
TRD-0025,2025-11-18 11:56:00,2025-11-19 15:29:00,HINDUNILVR,BUY,2,2375.2,2414.39,4750.4,9.6,78.38,1.65,581.37,50581.37,"Breakout above 50-MA, earnings beat 12%, analyst upgrades",0.68,38,Bullish,133% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,158
TRD-0026,2025-11-19 14:33:00,2025-11-19 15:04:00,LT,BUY,1,3481.85,3460.95,3481.85,9.6,-20.89,-0.6,560.48,50560.48,"Support holding, fundamentals improving, momentum building",-0.05,61,Neutral,172% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0026,DAY,CLOSED,248
TRD-0027,2025-11-19 10:10:00,2025-11-19 11:27:00,RELIANCE,BUY,1,2462.91,2470.29,2462.91,9.5,7.39,0.3,567.87,50567.87,"Breakout above 50-MA, earnings beat 12%, analyst upgrades",0.54,38,Bullish,173% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,212
TRD-0028,2025-11-19 13:08:00,2025-11-20 12:05:00,HINDUNILVR,BUY,1,2417.77,2475.8,2417.77,6.3,58.03,2.4,625.89,50625.89,"Breakout above 50-MA, earnings beat 12%, analyst upgrades",0.64,46,Bullish,141% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,188
TRD-0029,2025-11-20 13:43:00,2025-11-20 14:53:00,SBIN,BUY,6,724.63,739.85,4347.8,9.0,91.3,2.1,717.2,50717.2,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.49,43,Neutral,144% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,157
TRD-0030,2025-11-21 14:13:00,2025-11-21 15:01:00,ICICIBANK,BUY,2,1181.4,1176.08,2362.8,5.5,-10.63,-0.45,706.57,50706.57,"News catalyst positive, technical setup favorable, volume supporting",0.01,46,Bullish,173% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,172
TRD-0031,2025-11-21 12:23:00,2025-11-21 13:27:00,KOTAKBANK,BUY,1,1778.96,1800.31,1778.96,6.7,21.35,1.2,727.91,50727.91,"H&S pattern complete, MACD crossover, relative strength improving",0.77,65,Bullish,156% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0031,DAY,CLOSED,210
TRD-0032,2025-11-24 10:51:00,2025-11-24 11:32:00,ITC,BUY,6,431.54,439.96,2589.25,5.5,50.49,1.95,778.4,50778.4,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.46,47,Bullish,158% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,207
TRD-0033,2025-11-24 13:43:00,2025-11-24 14:55:00,RELIANCE,BUY,1,2473.64,2499.61,2473.64,7.7,25.97,1.05,804.38,50804.38,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.4,49,Bullish,115% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0033,DAY,CLOSED,181
TRD-0034,2025-11-25 09:34:00,2025-11-25 13:30:00,RELIANCE,BUY,1,2542.26,2557.52,2542.26,9.0,15.25,0.6,819.63,50819.63,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.61,47,Neutral,161% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,176
TRD-0035,2025-11-25 12:34:00,2025-11-25 13:25:00,LT,BUY,1,3469.21,3490.03,3469.21,7.7,20.82,0.6,840.45,50840.45,"Support holding, fundamentals improving, momentum building",0.66,43,Bullish,140% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,216
TRD-0036,2025-11-25 10:24:00,2025-11-25 12:27:00,SBIN,BUY,5,753.66,774.01,3768.31,8.4,101.74,2.7,942.19,50942.19,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.42,36,Bullish,167% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0036,DAY,CLOSED,200
TRD-0037,2025-11-26 12:00:00,2025-11-26 13:34:00,BHARTIARTL,BUY,1,1552.1,1538.13,1552.1,5.6,-13.97,-0.9,928.22,50928.22,"H&S pattern complete, MACD crossover, relative strength improving",-0.47,57,Bullish,135% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,194
TRD-0038,2025-11-27 12:50:00,2025-11-28 14:08:00,BHARTIARTL,BUY,3,1530.52,1548.88,4591.55,9.9,55.1,1.2,983.32,50983.32,"News catalyst positive, technical setup favorable, volume supporting",0.53,53,Neutral,165% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0038,SWING,CLOSED,191
TRD-0039,2025-11-27 10:31:00,2025-11-28 15:10:00,SBIN,BUY,5,788.46,790.82,3942.28,8.1,11.83,0.3,995.15,50995.15,"News catalyst positive, technical setup favorable, volume supporting",0.43,40,Bullish,126% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,227
TRD-0040,2025-11-28 09:14:00,2025-11-28 13:14:00,ITC,BUY,9,446.07,454.1,4014.67,8.0,72.26,1.8,1067.41,51067.41,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.43,51,Neutral,124% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,153
TRD-0041,2025-11-28 09:00:00,2025-11-28 10:37:00,INFY,BUY,2,1464.24,1453.26,2928.47,6.9,-21.96,-0.75,1045.45,51045.45,"Gap-up post-results, delivery % high, bullish pattern",0.08,36,Bullish,172% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,195
